id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors,image
0,tt0090009,11/25/2016,11/25/2016,"In a post-apocalyptic world, She aids two brothers&apos; quest to rescue their kidnapped sister. Along the way, they battle weird creatures before standing against the odds to defeat the evil Norks.",She,https://www.imdb.com/title/tt0090009/,movie,4.8,106,1984,"Action, Adventure, Fantasy, Sci-Fi",1828,5/15/1984,Avi Nesher,https://m.media-amazon.com/images/M/MV5BMjgyNGNjMDctMzBjNC00M2VmLWIwZWQtNjMyYWE2ZDhhYjY1XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
1,tt0058379,11/25/2016,11/25/2016,"Mothra&apos;s egg washes ashore and is claimed by greedy entrepreneurs who refuse to return it to her fairies. As Godzilla arises near Nagoya, the people of Infant Island must decide if they are willing to answer Japan&apos;s own pleas for ...",Mosura tai Gojira,https://www.imdb.com/title/tt0058379/,movie,6.5,89,1964,"Adventure, Fantasy, Sci-Fi",9278,4/29/1964,Ishirô Honda,https://m.media-amazon.com/images/M/MV5BNjBkNjk0NDAtNDcxYy00NDI3LThjM2QtYjRhOTY1NmM0N2NhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
2,tt0058548,11/25/2016,11/25/2016,The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.,Santa Claus Conquers the Martians,https://www.imdb.com/title/tt0058548/,movie,2.7,81,1964,"Adventure, Comedy, Family, Fantasy, Sci-Fi",12124,11/14/1964,Nicholas Webster,https://m.media-amazon.com/images/M/MV5BZDllYzM0YjktYWNjOC00MjZjLWE2Y2EtOGRkMTY1N2I3MjUxXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
3,tt0056142,11/25/2016,11/25/2016,A UN reporter broadcasts a report on the appearance of a prehistoric monster that emerges from hibernation while a pharmaceutical company seeks publicity with a monster of their own. (US Version),King Kong vs. Godzilla,https://www.imdb.com/title/tt0056142/,movie,5.7,97,1963,"Action, Adventure, Fantasy, Sci-Fi",10625,6/3/1963,"Tom Montgomery, Ishirô Honda",https://m.media-amazon.com/images/M/MV5BNGExNmFhMDItZDBiZC00MWUyLWEwYjEtYTgyYzIzNTQyZTYwXkEyXkFqcGdeQXVyMTIyNjQ1OTMy._V1_.jpg
4,tt0235608,11/25/2016,11/25/2016,Batwoman is called to investigate a whacked-out scientist who is capturing wrestlers and using their spinal fluid to create a Gill Man.,La mujer murcielago,https://www.imdb.com/title/tt0235608/,movie,4.7,80,1968,"Adventure, Horror, Sci-Fi",624,3/28/1968,René Cardona,https://m.media-amazon.com/images/M/MV5BODJiMjM3YTEtZDk0ZC00MDNiLWI3MDYtMTA4YTgxOTRiNTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
5,tt3522806,11/25/2016,11/25/2016,Bishop&apos;s most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,Mechanic: Resurrection,https://www.imdb.com/title/tt3522806/,movie,5.7,98,2016,"Action, Adventure, Crime, Thriller",87498,8/22/2016,Dennis Gansel,https://m.media-amazon.com/images/M/MV5BMjYwODExNzUwMV5BMl5BanBnXkFtZTgwNTgwNjUyOTE@._V1_.jpg
6,tt2334879,11/25/2016,11/25/2016,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",White House Down,https://www.imdb.com/title/tt2334879/,movie,6.3,131,2013,"Action, Drama, Thriller",226826,6/21/2013,Roland Emmerich,https://m.media-amazon.com/images/M/MV5BYmI5ZGIxOGMtMjcwMS00Yzk3LWE0YWUtMzc5YTFhNGQ4OWZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg
7,tt0092675,11/25/2016,11/25/2016,"&quot;Bloodsport&quot; follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92,1988,"Action, Biography, Drama, Sport",87749,2/26/1988,Newt Arnold,https://m.media-amazon.com/images/M/MV5BNTJmMGEzMTQtMzQzMi00YjE1LWI4MTctNjY0NWZiYzE2MDVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
8,tt0087998,11/25/2016,11/25/2016,"Alien creatures invade a small town and four teenagers, along with a young boy, attempt to escape from them.",The Deadly Spawn,https://www.imdb.com/title/tt0087998/,movie,5.9,81,1983,"Horror, Sci-Fi",5007,4/22/1983,Douglas McKeown,https://m.media-amazon.com/images/M/MV5BYTA5ZjZhNDAtMDczZS00OWEwLTkwMzktNGZlNmNiOGYxYThmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
9,tt0122037,11/25/2016,11/25/2016,"A renegade doctor is shot dead and entombed with his fiendish experiments in the basement of an abandoned wing of a mental hospital. Twenty years later, a mysterious woman is admitted with amnesia, and her arrival is marked by an ...",The Dead Pit,https://www.imdb.com/title/tt0122037/,movie,5.3,95,1989,Horror,2707,5/31/1989,Brett Leonard,https://m.media-amazon.com/images/M/MV5BNzVmNWI3MGQtNGE3OS00ODQzLWE0ZTAtNzg2YTU2MDViZGVhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
